(Grupo Terrorista, Quantidade de Ataques)
("Free Galician People's Guerrilla Army", 47)
('Israeli Settler', 47)
('Muslims', 47)
('Pattani United Liberation Organization (PULO)', 47)
('Popular Forces of April 25', 47)
('Popular Resistance Committees', 47)
('Democratic Front for the Liberation of Palestine (DFLP)', 46)
('Justice Commandos for the Armenian Genocide', 46)
("Sudan People's Liberation Army (SPLA)", 45)
('Weather Underground, Weathermen', 45)
('23rd of September Communist League', 44)
('Tribal Group', 44)
('Dishmish Regiment', 43)
('Informal Anarchist Federation', 43)
('National Socialist Council of Nagaland-Khaplang (NSCN-K)', 43)
("People's Liberation Front of India", 43)
("Sudan People's Liberation Movement in Opposition (SPLM-IO)", 42)
('Brunswijk Jungle Commando', 41)
('Caucasus Emirate', 41)
('Hizb-I-Islami', 41)
('Paramilitaries', 41)
('Real Irish Republican Army (RIRA)', 41)
('Tupamaros (Uruguay)', 41)
('Buddhist Monks', 40)
('Lorenzo Zelaya Revolutionary Front (LZRF)', 40)
('Official Irish Republican Army (OIRA)', 40)
('Tuaregs', 40)
('Armed Forces of National Resistance (FARN)', 39)
('Party for the Liberation of the Hutu People (PALIPEHUTU)', 39)
('Popular Revolutionary Bloc (BPR)', 38)
('Taliban (Pakistan)', 38)
('Macheteros', 37)
('Rebels', 37)
('Black Liberation Army', 36)
('Free Papua Movement (OPM-Organisasi Papua Merdeka)', 36)
('Great Eastern Islamic Raiders Front (IBDA-C)', 36)
('Oglaigh na hEireann', 36)
('Rebel Armed Forces of Guatemala (FAR)', 36)
("Turkish People's Liberation Front (TPLF)(THKP-C)", 36)
('Al-Naqshabandiya Army', 35)
('Croatian Nationalists', 35)
('Devrimici Halk Kurtulus Cephesi (DHKP/C)', 35)
('Islamic Front (Syria)', 35)
('Maoist Communist Center (MCC)', 35)
('National Liberation Army (NLA) (Macedonia)', 35)
('Canary Islands Independence Movement', 34)
('Communist Party of Nepal-Maoist (Baidya)', 34)
('Indian Mujahideen', 34)
('Kangleipak Communist Party (KCP)', 34)
('Misurasata Indian Organization', 34)
('Israeli Extremists', 33)
('Shiite Muslims', 33)
('Ajnad Misr', 32)
('Albanians', 32)
('Breton Liberation Front (FLB)', 32)
('Jundallah', 32)
('Mayi Mayi', 32)
('Seleka', 32)
('April 6th Liberation Movement', 31)
('Chicano Liberation Front', 31)
('Meibion Glyndwr', 31)
('National Liberation Front (FNL) (Burundi)', 31)
('Turkish Communist Party/Marxist (TKP-ML)', 31)
('Armed Proletarian Nuclei (NAP)', 30)
('Armed Revolutionary Independence Movement (MIRA)', 30)
('Awami League', 30)
('Continuity Irish Republican Army (CIRA)', 30)
("Jama'atul Mujahideen Bangladesh (JMB)", 30)
('Jewish Extremists', 30)
('Muslim Extremists', 30)
('Ansar al-Islam', 29)
('Baloch Nationalists', 29)
('Janatantrik Terai Mukti Morcha (JTMM)', 29)
('Sanaa Province of the Islamic State', 29)
('Tripura National Volunteers (TNV)', 29)
('United Freedom Front (UFF)', 29)
('Balochistan Liberation United Front (BLUF)', 28)
('Bougainville Revolutionary Army (BRA)', 28)
('Extremists', 28)
('Alfaro Vive', 27)
('Amal', 27)
('Janatantrik Terai Mukti Morcha- Goit (JTMM-G)', 27)
('Patriotic Resistance Front in Ituri (FRPI)', 27)
('The New Irish Republican Army', 27)
('Vigilante Group', 27)
('Catalan Liberation Front (FAC)', 26)
('Kachin Independence Army (KIA)', 26)
('Lebanese National Resistance Front', 26)
('Loyalist Volunteer Forces (LVF)', 26)
('Patriotic Morazanista Front (FPM)', 26)
('Puerto Rican Nationalists', 26)
('United National Liberation Front (UNLF)', 26)
('Abdullah Azzam Brigades', 25)
('Anti-Government Group', 25)
('Caribbean Revolutionary Alliance (ARC)', 25)
('Democratic Karen Buddhist Army (DKBA)', 25)
('Haftar Militia', 25)
('International Revolutionary Action Group (GARI)', 25)
('Jaish-e-Mohammad (JeM)', 25)
('Red Flag (Venezuela)', 25)
('Sunni Muslims', 25)
('16 January Organization for the Liberation of Tripoli', 24)
('Army of God', 24)
('Black Panthers', 24)
('Cinchoneros Popular Liberation Movement', 24)
('Dima Halao Daoga (DHD)', 24)
('Peasant Self-Defense Group (ACCU)', 24)
('Revolutionary Struggle', 24)
("Revolutionary Workers' Council (Kakurokyo)", 24)
('United Front for Democracy Against Dictatorship', 24)
('Zapatista National Liberation Army', 24)
('Zimbabwe African Nationalist Union (ZANU)', 24)
('Arab Separatists', 23)
('Communist Party of Nepal- Maoist (CPN-M)', 23)
('Counter-revolutionaries', 23)
('Ex-Somoza National Guard', 23)
('Mujahideen Youth Movement (MYM)', 23)
('Red Hand Defenders (RHD)', 23)
('Azawad National Liberation Movement (MNLA)', 22)
('Cuban Exiles', 22)
('Guatemalan Labor Party (PGT)', 22)
('Jaish-e-Islam', 22)
('Ku Klux Klan', 22)
('National Front for the Liberation of Cuba (FLNC)', 22)
("People's Committee against Police Atrocities (PCPA)", 22)
('Popular Resistance Committees (Yemen)', 22)
('Tupac Katari Guerrilla Army (EGTK)', 22)
('Tutsi', 22)
('Youths', 22)
('9 February', 21)
('Armed People', 21)
('Communist Combattant Cells (CCC) (Belgium)', 21)
('Eritrean Liberation Front', 21)
("Irish People's Liberation Organization (IPLO)", 21)
('Karen Insurgents', 21)
('Lashkar-e-Balochistan', 21)
('Popular Revolutionary Army (Mexico)', 21)
('Purbo Banglar Communist Party', 21)
('Union of the People (UDP)', 21)
('Anti-Government Guerrillas', 20)
('Anti-Terrorist Liberation Group (GAL)', 20)
('Armed Revolutionary Nuclei (NAR)', 20)
('Coordination Committee (CORCOM)', 20)
('George Jackson Brigade', 20)
('Khalistan Commando Force', 20)
('May 19 Communist Order', 20)
('Military Council of the Tribal Revolutionaries (MCTR)', 20)
("People's Revolutionary Party of Kangleipak (PREPAK)", 20)
('Right-Wing Death Squad', 20)
('Students', 20)
('Zebra killers', 20)
('Ansar al-Dine (Mali)', 19)
('Argentine Anticommunist Alliance (AAA)', 19)
('Independent Armed Revolutionary Commandos (CRIA)', 19)
('Jewish Armed Resistance', 19)
("Karbi People's Liberation Tigers (KPLT)", 19)
('Polisario Front', 19)
('Right-Wing Group', 19)
('Sandinistas', 19)
('Secret Anti-Communist Army (ESA)', 19)
('Sipah-e-Sahaba/Pakistan (SSP)', 19)
('Uganda Freedom Movement (UFM)', 19)
('Dacoits', 18)
('Death to Kidnappers (MAS)', 18)
('Forqan Group', 18)
('Jamaat-ul-Ahrar', 18)
('Justice and Equality Movement (JEM)', 18)
('Mahdi Army', 18)
('Mujahideen Ansar', 18)
('Shaykh Subhi Al-Salih Forces', 18)
("31 January People's Front (FP-31)", 17)
('Activists', 17)
('Al-Mansoorian', 17)
('Ansar al-Sunna', 17)
('Arabs', 17)
('Black Panther Group (Palestinian)', 17)
('Front for the Liberation of the Enclave of Cabinda (FLEC)', 17)
('Hizbul al Islam (Somalia)', 17)
('Iranians', 17)
('Italian Social Movement (MSI)', 17)
('Kurdish Militants', 17)
('Kurds', 17)
('Mujahidin Indonesia Timur (MIT)', 17)
('Naga People', 17)
('National Socialist Council of Nagaland', 17)
('Serbian guerrillas', 17)
('Supporters of Abd Rabbuh Mansur Hadi', 17)
('Tuareg Guerrillas', 17)
('20 December Movement (M-20)', 16)
('Al-Ummah', 16)
('Aryan Republican Army', 16)
('Coordination for Revolutionary Action (CAR)', 16)
('Kurdistan Freedom Hawks (TAK)', 16)
('Loyalists', 16)
('National Patriotic Front of Liberia (NPFL)', 16)
('The Justice Department', 16)
('Animal Rights Activists', 15)
('Colombian Guerrillas', 15)
('East Timorese Activists', 15)
('February 28 Popular League (El Salvador)', 15)
('Front for the Liberation of Lebanon from Foreigners', 15)
('Karbi Longri North Cachar Liberation Front (KLNLF)', 15)
('Khalistan Liberation Force', 15)
('Liwa Ahrar al-Sunna', 15)
('Marxists', 15)
('National Council for Defense of Democracy (NCDD)', 15)
('Organization of Volunteers for the Puerto Rican Revolution', 15)
('Popular Militia (Colombia)', 15)
('Ranbir Sena', 15)
('Revolutionary Commandos of the People (CRP)', 15)
('Rodrigo Franco Command', 15)
('Students Islamic Movement of India (SIMI)', 15)
('Sudan Liberation Movement', 15)
("Uganda People's Army", 15)
("Workers' Self-Defense Movement (MAO)", 15)
('2nd of June Movement', 14)
('Anti-Nuclear Group', 14)
('Che Guevara Brigade', 14)
('Coordination of the United Revolutionary Organization (CORU)', 14)
('Harkatul Jihad-e-Islami', 14)
('Institutional Revolutionary Party (PRI)', 14)
('Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R)', 14)
('Kamtapur Liberation Organization (KLO)', 14)
('Left-Wing Extremists', 14)
('Maximiliano Gomez Revolutionary Brigade', 14)
('Mizo National Front', 14)
('National Socialist Underground', 14)
("People's Revolutionary Organization", 14)
('Popular Resistance Movement (Egypt)', 14)
('Pro-Russia Militia', 14)
('Right-Wing Paramilitaries', 14)
('Shura Council of Benghazi Revolutionaries', 14)
('Southern Front', 14)
('Spanish Basque Battalion (BBE) (rightist)', 14)
('Tehrik-e-Khilafat', 14)
('Union Guerrera Blanca (UGB)', 14)
('Ahrar al-Sham', 13)
('Akhil Terai Mukti Morcha (ATMM)', 13)
('All Tripura Tiger Force (ATTF)', 13)
('Anti-Authority Group (Greece)', 13)
('Armed Commandos of Liberation', 13)
('Cuban Action', 13)
('Fighting Proletarian Squads', 13)
('Force 17', 13)
('Halqa-e-Mehsud', 13)
('Insurgents', 13)
('Lashkar-e-Islam (India)', 13)
('Muslim Guerrillas', 13)
('Political Activists', 13)
('Political Group', 13)
('United Popular Action Front (FAPU)', 13)
("Zimbabwe African People's Union", 13)
('Al-Qaida in Yemen', 12)
('Ansar al-Sharia (Tunisia)', 12)
('Armed Forces of the Chechen Republic of Ichkeria', 12)
("Asa'ib Ahl al-Haqq", 12)
('Bandits', 12)
('Black Widows', 12)
('Democratic Revolutionary Party', 12)
('East Asia Anti Japanese Armed Front', 12)
('Islamic Courts Union (ICU)', 12)
('Islamic State in Bangladesh', 12)
('Jaish al-Adl', 12)
('Jamiat ul-Mujahedin (JuM)', 12)
('Kach', 12)
('Lesotho Liberation Army (LLA)', 12)
('Militia Members', 12)
('New Armenian Resistance', 12)
('Pirates', 12)
('Revolutionary Nuclei', 12)
('Samyukta Jatiya Mukti Morcha (SJMM)', 12)
('Abu Hafs al-Masri Brigades', 11)
('Adan-Abyan Province of the Islamic State', 11)
('Alex Boncayao Brigade (ABB)', 11)
("Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)", 11)
('Autonomy (Italy)', 11)
('Babbar Khalsa International (BKI)', 11)
('Bedouin tribesmen', 11)
('Communist Fighting Unit', 11)
('Harkat ul Ansar', 11)
('Kurdistan Free Life Party', 11)
('Liberation and Justice Movement (LJM)', 11)
('Neo-Fascists', 11)
('Orange Volunteers (OV)', 11)
('Quintin Lame', 11)
('Revolutionary Front for an Independent East Timor (FRETILIN)', 11)
('Revolutionary Punishment Movement', 11)
('Rwanda Patriotic Front (RPF)', 11)
('Shan State Progressive Party', 11)
('Subversives', 11)
('Supreme Council for Islamic Revolution in Iraq (SCIRI)', 11)
('White Wolves', 11)
('1 May', 10)
('Al-Ashtar Brigades', 10)
('Al-Jihad', 10)
('Al-Umar Mujahideen', 10)
('Anti-Iran Government Exiles', 10)
('Arab Communist Organization', 10)
('Autonomous Anti-Capitalist Commandos (CAA)', 10)
('Barisan Revolusi Nasional (BRN)', 10)
('Chicano Radicals', 10)
('Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA)', 10)
('Communist Party of India- Marxist', 10)
('Corsican Nationalists', 10)
('Democratic Front of the Central African People (FDPC)', 10)
('Iberian Liberation Movement (MIL)', 10)
('Indipendenza', 10)
('Jamaat-E-Islami (India/Pakistan)', 10)
('Jaysh al-Islam (Syria)', 10)
('Jewish Terror', 10)
('Kurdish Dissidents', 10)
('Kurdish Separatists', 10)
('Mai Mai Bakata Katanga Militia', 10)
('Movement of Niger People for Justice (MNJ)', 10)
('People Against Gangsterism and Drugs (PAGAD)', 10)
("People's Revolutionary Army (ERP)", 10)
('Proletarian Patrols', 10)
('Red Hand Commandos', 10)
('Revolutionary Workers Party', 10)
('Rival Activists', 10)
('Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs', 10)
('South Ossetian Separatists', 10)
('Supporters of Ex-President Gamsakhurdial', 10)
('Takfir wal-Hijra (Excommunication and Exodus)', 10)
('Terai Army', 10)
('Tigray Peoples Liberation Front (TPLF)', 10)
('Young Communist League', 10)
('Achik National Volunteer Council-B (ANVC-B)', 9)
("Achik Songna An'pachakgipa Kotok (ASAK)", 9)
('Ahlu-sunah Wal-jamea (Somalia)', 9)
('Al-Khobar', 9)
('Armenian Guerrillas', 9)
('Bhinderanwale Tiger Force of Khalistan (BTHK)', 9)
('Black September II', 9)
('Bodo Liberation Tigers (BLT)', 9)
('Colonel Karuna Faction', 9)
('Commandos', 9)
('Coordination of Azawad Movements (CMA)', 9)
('Eagles of the Palestinian Revolution', 9)
('Iraqi Mujahideen', 9)
('Japanese Red Army (JRA)', 9)
('Jund al-Sham for Tawhid and Jihad', 9)
('Kanglei Yawol Kanna Lup (KYKL)', 9)
('Kuki National Front (KNF)', 9)
('Kurdish Democratic Party-Iraq (KDP)', 9)
('Luis Boitel Commandos', 9)
('Macina Liberation Front (FLM)', 9)
('Madhesi Mukti Tigers (MMT)', 9)
('Mafia', 9)
('May 15 Organization for the Liberation of Palestine', 9)
('Mohajir National Movement', 9)
('Mombasa Republican Council (MRC)', 9)
('National Democratic Alliance Army (NDAA-ESSA)', 9)
('Ninjas', 9)
('Okba Ibn Nafaa Brigade', 9)
('Orly Organization', 9)
('Pagan Sect of the Mountain', 9)
("Pakistani People's Party (PPP)", 9)
('Peronist Armed Forces (FAP)', 9)
('Popular Movement for the Liberation of Angola', 9)
('Reform of the Armed Forces Movement', 9)
('Revolutionary Communist League (LCR) (Spain)', 9)
('Social Resistance', 9)
('South Moluccans', 9)
('Supporters of the Islamic State in Jerusalem', 9)
('Tritiya Prastuti Committee (India)', 9)
('Turkish Leftists', 9)
('United Democratic Liberation Army (UDLA)', 9)
('Vishwa Hindu Parishad (VHP)', 9)
('Zeliangrong United Front', 9)
('Zimbabwe Patriotic Front', 9)
('Afghan Guerrillas', 8)
('Al-Zulfikar', 8)
('Anti-Terrorism ETA (ATE)', 8)
('Arab Revolutionary Army', 8)
('Armata di Liberazione Naziunale (ALN)', 8)
('Athens and Thessaloniki Arsonist Nuclei', 8)
('Aum Shinri Kyo', 8)
('Azerbaijan Guerrillas', 8)
('Baloch Liberation Tigers (BLT)', 8)
('Basque Separatists', 8)
('Bolivian Socialist Falange', 8)
('Christian extremists', 8)
('Coalition to Save the Preserves (CSP)', 8)
('Communist Party of India- Marxist-Leninist', 8)
('Communist Party of Nepal - Maoist (CPN-Maoist-Chand)', 8)
("Communist Party of Nepal (People's War Group)", 8)
('Convention of Patriots for Justice and Peace', 8)
('Deccan Mujahideen', 8)
('Eastern Turkistan Islamic Movement (ETIM)', 8)
('Francia', 8)
('Front For the Liberation of the Azores', 8)
('Grey Wolves', 8)
('Hindu Group', 8)
('Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq)', 8)
('Jamaah Ansharut Tauhid (JAT)', 8)
('Janatantrik Terai Madhesh Mukti Morcha (JTMMM)', 8)
('Kuki Revolutionary Army (KRA)', 8)
('Lebanese Armed Revolutionary Faction (LARF)', 8)
('Libya Shield Force', 8)
('M23', 8)
('Misrata Brigades', 8)
('Mujahedeen Shura Council', 8)
('Ninth of June Organization', 8)
('Oromo Liberation Front', 8)
('Palestine Liberation Front (PLF)', 8)
("People's Fatherland Movement", 8)
('Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)', 8)
('Qaddaffis', 8)
('Rashtriya Swayamsevak Sangh', 8)
('Secret Cuban Government', 8)
('Senki ("Battle Flag")', 8)
('Somali Salvation Front (SSF)', 8)
('Sudan Liberation Army-Minni Minawi (SLA-MM)', 8)
('Supporters of Joshua Nkomo', 8)
('Syrian Social Nationalist Party', 8)
('Tamil Eelam Liberation Organization (TELO)', 8)
('The Order (Silent Brotherhood)', 8)
('United Revolutionary Front', 8)
('Up the IRS, Inc', 8)
('Workers/Employees', 8)
('Afghan Mujahideen', 7)
('Al-Qaida in Saudi Arabia', 7)
('Al-Qaida in the Indian Subcontinent', 7)
('Ansar al-Sharia Operations Room (Syria)', 7)
('Ansarullah Bangla Team', 7)
('Anti-Government Demonstrators', 7)
('Anti-Government Rebels', 7)
('Anti-Monarchists', 7)
('Arab Movement of Azawad (MAA)', 7)
('Argentine Liberation Front (FAL)', 7)
('Armenians', 7)
('Baloch Republican Guards (BRG)', 7)
('Beirut Martyrs Battalion', 7)
('Black Star', 7)
('Cossack Separatists', 7)
("Cyprus Turkish People's Movement", 7)
('Economic Freedom Fighters', 7)
("Eelam People's Revolutionary Liberation Front (EPRLF)", 7)
("Fedayeen Khalq (People's Commandos)", 7)
('Fighting Popular Rally', 7)
('GAC', 7)
('Gbagbo Loyalists', 7)
('Guadeloupe Liberation Army', 7)
('Guerrilla Forces for Liberation', 7)
('Hadramawt Province of the Islamic State', 7)
('Holy Spirit Movement', 7)
('Iraqis', 7)
('Keshet', 7)
('Kisan Indian Organization', 7)
('Kuna Indians', 7)
('Kurdish Rebels', 7)
("Landless Peasants' Movement (MST)", 7)
('Laskar Jihad', 7)
('Lebanese Liberation Front', 7)
('Libya Revolutionaries Operations Room (LROR)', 7)
('Mai Mai Simba Militia', 7)
('Maximiliano Hernandez Martinez Brigade', 7)
('Militant Minority (Greece)', 7)
('Mob', 7)
('Movement of the Revolutionary Left (MIR) (Peru)', 7)
('Patriotic Union of Kurdistan (PUK)', 7)
('Pedro Albizu Campos Revolutionary Forces', 7)
('Pedro Leon Arboleda (PLA)', 7)
("People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P)", 7)
("People's United Liberation Front (PULF)", 7)
('Proletarian Fighting Patrol', 7)
('Protesters', 7)
('Rahanwein Resistance Army (RRA)', 7)
('Rebel Military Unit', 7)
('Recompras', 7)
('Red Brigades Fighting Communist Party (BR-PCC)', 7)
('Red Guerrilla', 7)
('Revolutionary Action', 7)
('Revolutionary Popular Left', 7)
('Scottish National Liberation Army', 7)
('Secessionists', 7)
('Serbian Militants', 7)
('Soldiers of Truth', 7)
('Somali National Movement', 7)
('Survivors of Golfech', 7)
('Symbionese Liberation Army (SLA)', 7)
('Terror Against Terror', 7)
('The Joint Revolutionary Council', 7)
('United Democratic Madhesi Front (UDMF)', 7)
("United People's Democratic Solidarity (UPDS)", 7)
('2 April Group', 6)
('Adivasi National Liberation Army (ANLA)', 6)
('Albanian National Army (ANA)', 6)
('Alliance of Patriots for a Free and Sovereign Congo (APCLS)', 6)
('America Battalion', 6)
('American Indian Movement', 6)
("Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)", 6)
('Arab Revolution/Liberation Vanguard Organization', 6)
('Armed Falange', 6)
('Armed Group for the Liberation of Guadeloupe (GLAG)', 6)
('Armed Nucleus for Popular Autonomy', 6)
('Armed Proletarian Power', 6)
('Armed Proletarian Squads', 6)
('Aryan Nation', 6)
('Bangladesh Sarbahara Party', 6)
('Basque Rectitudes', 6)
('Black Hand (Colombia)', 6)
('Black Muslims', 6)
('Black Order', 6)
('Breton Separatists', 6)
('Chilean Anti-Communist Alliance (ACHA)', 6)
("Comite d'Action Viticole", 6)
('Commando Adolph Hitler', 6)
('David Yau Yau Militia', 6)
('Death to Bazuqueros', 6)
('E. Timorese Youths', 6)
('Extraparliamentary Opposition (APO)', 6)
('Fatah Uprising', 6)
('February 17 Martyrs Brigade', 6)
("Hmar People's Convention-Democracy (HPC-D)", 6)
('Illuminating Paths of Solidarity', 6)
('International Revolutionary Solidarity', 6)
('Jaime Bateman Cayon Group (JBC)', 6)
('Jharkhand Liberation Tigers (JLT)', 6)
('Kuki tribesmen', 6)
('Left-Wing Demonstrators', 6)
